competition_name,url,last_checked
ASU Innovation Open,https://asu.io/,
Baylor New Venture Competition,https://www.baylor.edu/business/newventurecompetition/,
Big Idea Competition,https://creators.byu.edu/big-idea-competition,
New Venture Challenge,https://polsky.uchicago.edu/programs-events/nvc/,
Harvard Business School New Venture Competition,https://hbs.edu/,
Nebraska Business New Venture Competition,https://unl.edu/,
Rhode Island Business Competition,https://ri-business.com/,
Rice Business Plan Competition,https://rbpc.rice.edu/winners,
TCU Richards Barrentine Values and Ventures Competition,https://www.tcu.edu/,
Tulane Business Model Competition,https://freeman.tulane.edu/tbmc,
Big Bang! Business Competition,https://gsm.ucdavis.edu/big-bang-business-competition,
Knapp Venture Competition,https://www.anderson.ucla.edu/knapp-venture-competition,
Venture Lab Startup Challenge,https://venturelab.upenn.edu/startup-challenge,
BREW,https://nexusla.org/brew/,
SXSW Pitch,https://www.sxsw.com/pitch/#winners,
Start-up St. Bernard,https://www.startupstbernard.com/how-it-works,
Nspire Startup Slam,https://startupnorthshore.com/nspire/,
eMerge Americas Global Startup Accelerator,https://emergeamericas.com/startups/overview,
Schulze Entrepreneurship Challenge,https://efest.biz/faqs,
Tiger Launch,https://tigerlaunch.com/home,
Stu Clark New Venture Championships,https://umanitoba.ca/asper/stu-clark-centre-for-entrepreneurship/stu-clark-new-venture-championships,
Global Student Entrepreneur Awards,https://gsea.org/GSEA/GSEA/GSEA-FAQs.aspx?hkey=87b44cdb-a2d5-4472-a79c-8cd206f48647,
Rocket Fund,https://caltech.edu/,
Entrepreneurship Pelican Cup,https://www.ulm.edu/pelicancup/,
efest,https://efest.biz/,
Fowler Global Social Innovation Challenge,https://www.fowlergsic.org/,
BioChallenge Pitch Competition,https://www.eventbrite.com/e/biochallenge-finals-tickets-923910199277?aff=oddtdtcreator,
Heartland Challenge Startup Competition,https://entrepreneurship.uark.edu/programs/heartland-challenge.php/,
McClosky Business Plan Competition,https://ideacenter.nd.edu/se/opportunities/mccloskey-competition/,
Babson Entrepreneurial Thought and Action Challenge,https://www.babson.edu/entrepreneurship-center/startup-acceleration/beta-challenge/,
New York StartUP! 2025 Business Plan Competition,https://www.nypl.org/business/events/new-york-startup-business-plan-competition,
UGA Venture Prize Competition,https://www.terry.uga.edu/entrepreneurship/venture-prize/,
Michigan Business Challenge,https://zli.umich.edu/michigan-business-challenge/,
Venture Cat,https://www.venturecat.northwestern.edu/,
Columbia Venture Competition,https://entrepreneurship.columbia.edu/startupcolumbia/,
Startup Yale,https://startup.yale.edu/,
Arch Grants Global Startup Competition,https://archgrants.org/competition/,
CSUF Titan Fast Pitch,https://csufentrepreneurship.com/announcing-the-12th-annual-csuf-titan-fast-pitch-competition-submissions-now-open/,
McGinnis Venture Competition,https://www.cmu.edu/swartz-center-for-entrepreneurship/events/mcginnis-venture-competition/index.html,
FAU Business Pitch Competition,https://business.fau.edu/centers/adams-center/,
Clapp IDEA Challenge,https://kelley.iu.edu/faculty-research/centers-institutes/entrepreneurship-innovation/events/clapp-idea-competition.html,
Papajohn Entrepreneurial Venture Competition,https://www.pappajohncompetition.com/,
Alabama Launch Pad,https://alabamalaunchpad.com/,
J Terrell Brown Venture Challenge,https://www.lsu.edu/business/sdeis/venture-challenge.php,
New York StartUP! Business Plan Competition,https://www.nypl.org/help/services/startup,
UCI New Venture Competition,https://merage.uci.edu/research-faculty/centers/innovation-entrepreneurship/new-venture-competiton.html,
Gwinnett Amazing Entrepreneur Contest,https://www.partnershipgwinnett.com/amazing-entrepreneur-contest/,
University of Hawaii Business Plan Competition,https://pace.shidler.hawaii.edu/uhvc/,
Pitch Dingman Competition,https://www.rhsmith.umd.edu/centers-excellence/dingman-center-entrepreneurship,
U Miami Business Model Competition,https://www.bus.miami.edu/our-perspective/areas-of-excellence/entrepreneurship/business-plan-competition/index.html,
Michigan Business Challenge,https://zli.umich.edu/michigan-business-challenge,
Minnesota Cup,https://carlsonschool.umn.edu/mn-cup,
Sontag Entrepreneurship Competition,https://www.unr.edu/business/initiatives/sontag/rules-and-registration,
The Galant Challenge,https://www.commerce.virginia.edu/entrepreneurship/galant-challenge,
Arkansas Governor's Cup,https://arcapital.com/governors-cup/,
The Tiger Cage,https://harbert.auburn.edu/events/tiger-cage/index.html,
Collegiate Pitch,https://kentuckygse.com/collegiate-pitch/faqs/,
Seed Center Business Pitch Competition,https://www.allianceswla.org/events/2024/05/02/event/business-pitch-competition/,
Regnier Venture Creation Challenge,https://info.umkc.edu/centers/entrepreneurship/events-and-competitions/regnier-venture-creation-challenge/,
The Georgetown Entrepreneurship Challenge,https://eship.georgetown.edu/gec/,
The Entrepreneurship Week Pitch Competition,https://daniels.du.edu/entrepreneurship/pitch-competition/,
Student Entrepreneurship Competitions,https://www.salisbury.edu/academic-offices/business/entrepreneurship-competitions/,
GW New Venture Competition,https://newventurecompetition.gwu.edu/,
MIT 100K,https://www.mit100k.org/what-we-do-1,
